order_id,order_date,customer_id,product_id,product_name,category,quantity,unit_price
O-10657,2024-07-05,C-0171,P-048,Compact Puzzle 048,Toys,2,79.14
O-12305,2024-07-06,C-0591,P-045,Classic Plush Bear 045,Toys,2,36.36
O-11159,2024-07-06,C-0303,P-033,Deluxe Running Belt 033,Sports & Outdoor,3,80.42
O-12545,2024-07-06,C-0653,P-044,Premium Puzzle 044,Toys,2,26.07
O-12167,2024-07-06,C-0559,P-050,Family Race Track 050,Toys,1,60.54
O-11385,2024-07-06,C-0366,P-044,Premium Puzzle 044,Toys,3,24.81
O-11570,2024-07-06,C-0411,P-037,Deluxe Trimmer 037,Beauty,2,111.53
O-11043,2024-07-07,C-0269,P-026,Premium Backpack 026,Sports & Outdoor,2,128.85
O-12682,2024-07-07,C-0689,P-014,Premium Kettle 014,Home & Kitchen,1,63.85
O-10942,2024-07-07,C-0243,P-005,Travel Mouse 005,Electronics,4,162.15
O-12414,2024-07-07,C-0619,P-011,Basic Mouse 011,Electronics,2,62.34
O-13955,2024-07-07,C-1021,P-017,Deluxe Lamp 017,Home & Kitchen,3,140.14
O-11265,2024-07-07,C-0334,P-039,Premium Hair Dryer 039,Beauty,3,54.0
O-12923,2024-07-08,C-0756,P-018,Smart Organizer 018,Home & Kitchen,3,61.01
O-10526,2024-07-08,C-0143,P-057,Max Desk Pad 057,Office,2,96.38
O-11452,2024-07-08,C-0386,P-007,Smart Headphones 007,Electronics,3,78.54
O-13191,2024-07-08,C-0820,P-016,Mini Coffee Maker 016,Home & Kitchen,2,43.27
O-11716,2024-07-08,C-0446,P-043,Max Building Set 043,Toys,1,70.47
O-11688,2024-07-08,C-0439,P-056,Pro Notebook Set 056,Office,3,102.88
O-11621,2024-07-08,C-0424,P-029,Deluxe Tent 029,Sports & Outdoor,1,79.39
O-13471,2024-07-08,C-0900,P-043,Max Building Set 043,Toys,2,71.52
O-10162,2024-07-09,C-0043,P-025,Smart Yoga Mat 025,Sports & Outdoor,1,77.8
O-13528,2024-07-09,C-0914,P-060,Max Chair Cushion 060,Office,2,61.62
O-12304,2024-07-09,C-0591,P-029,Deluxe Tent 029,Sports & Outdoor,3,80.14
O-12446,2024-07-09,C-0629,P-015,Basic Pan Set 015,Home & Kitchen,4,25.76
O-13786,2024-07-09,C-0977,P-003,Travel Power Bank 003,Electronics,2,136.01
O-11242,2024-07-09,C-0328,P-044,Premium Puzzle 044,Toys,1,25.41
O-12142,2024-07-09,C-0553,P-052,Smart Desk Pad 052,Office,3,24.4
O-11223,2024-07-09,C-0322,P-008,Mini Speaker 008,Electronics,1,138.1
O-12404,2024-07-10,C-0617,P-039,Premium Hair Dryer 039,Beauty,1,51.42
O-11926,2024-07-10,C-0500,P-017,Deluxe Lamp 017,Home & Kitchen,3,142.96
O-13483,2024-07-10,C-0904,P-049,Classic Plush Bear 049,Toys,1,86.65
O-10603,2024-07-10,C-0161,P-034,Family Tent 034,Sports & Outdoor,2,27.73
O-11351,2024-07-10,C-0356,P-033,Deluxe Running Belt 033,Sports & Outdoor,2,79.78
O-11149,2024-07-11,C-0301,P-007,Smart Headphones 007,Electronics,1,77.86
O-12721,2024-07-11,C-0699,P-036,Classic Skincare Set 036,Beauty,2,31.02
O-12932,2024-07-11,C-0758,P-010,Basic Webcam 010,Electronics,1,155.5
O-13068,2024-07-11,C-0789,P-036,Classic Skincare Set 036,Beauty,1,31.12
O-14320,2024-07-11,C-1117,P-015,Basic Pan Set 015,Home & Kitchen,3,25.61
O-13937,2024-07-11,C-1018,P-059,Basic Monitor Stand 059,Office,2,60.14
O-12294,2024-07-11,C-0588,P-026,Premium Backpack 026,Sports & Outdoor,2,130.7
O-12382,2024-07-11,C-0611,P-010,Basic Webcam 010,Electronics,1,154.63
O-11747,2024-07-12,C-0454,P-008,Mini Speaker 008,Electronics,3,136.65
O-14486,2024-07-12,C-1161,P-004,Deluxe Webcam 004,Electronics,1,26.49
O-12318,2024-07-12,C-0595,P-057,Max Desk Pad 057,Office,2,93.38
O-12307,2024-07-12,C-0592,P-050,Family Race Track 050,Toys,2,59.01
O-12114,2024-07-12,C-0549,P-010,Basic Webcam 010,Electronics,1,153.48
O-13705,2024-07-12,C-0959,P-004,Deluxe Webcam 004,Electronics,4,25.49
O-10102,2024-07-12,C-0024,P-042,Compact Mirror 042,Beauty,4,170.53
O-10435,2024-07-13,C-0122,P-024,Basic Organizer 024,Home & Kitchen,1,24.99
O-13373,2024-07-13,C-0874,P-002,Basic Speaker 002,Electronics,2,93.36
O-13617,2024-07-13,C-0938,P-017,Deluxe Lamp 017,Home & Kitchen,2,145.46
O-11447,2024-07-13,C-0383,P-020,Basic Kettle 020,Home & Kitchen,1,95.6
O-11178,2024-07-13,C-0311,P-057,Max Desk Pad 057,Office,3,98.24
O-14613,2024-07-13,C-1200,P-032,Max Water Bottle 032,Sports & Outdoor,3,102.31
O-11177,2024-07-13,C-0311,P-017,Deluxe Lamp 017,Home & Kitchen,2,145.04
O-11409,2024-07-13,C-0373,P-002,Basic Speaker 002,Electronics,4,93.11
O-11540,2024-07-13,C-0405,P-041,Eco Trimmer 041,Beauty,1,104.14
O-11239,2024-07-13,C-0327,P-054,Mini Monitor Stand 054,Office,2,59.67
O-10168,2024-07-14,C-0045,P-023,Max Lamp 023,Home & Kitchen,1,76.92
O-10510,2024-07-14,C-0139,P-020,Basic Kettle 020,Home & Kitchen,2,95.61
O-14290,2024-07-14,C-1109,P-029,Deluxe Tent 029,Sports & Outdoor,4,76.99
O-11379,2024-07-14,C-0365,P-004,Deluxe Webcam 004,Electronics,4,26.89
O-10965,2024-07-14,C-0250,P-045,Classic Plush Bear 045,Toys,3,35.56
O-13523,2024-07-14,C-0913,P-028,Travel Running Belt 028,Sports & Outdoor,3,11.35
O-13164,2024-07-14,C-0813,P-023,Max Lamp 023,Home & Kitchen,3,76.65
O-13696,2024-07-14,C-0955,P-028,Travel Running Belt 028,Sports & Outdoor,1,11.11
O-11615,2024-07-14,C-0421,P-030,Mini Yoga Mat 030,Sports & Outdoor,3,36.48
O-13816,2024-07-14,C-0984,P-029,Deluxe Tent 029,Sports & Outdoor,2,78.85
O-10851,2024-07-14,C-0219,P-022,Mini Coffee Maker 022,Home & Kitchen,2,112.48
O-12257,2024-07-14,C-0581,P-038,Classic Mirror 038,Beauty,3,59.67
O-12164,2024-07-14,C-0559,P-014,Premium Kettle 014,Home & Kitchen,3,65.35
O-13704,2024-07-14,C-0958,P-031,Compact Backpack 031,Sports & Outdoor,2,53.08
O-10446,2024-07-15,C-0124,P-019,Smart Blender 019,Home & Kitchen,3,59.08
O-11996,2024-07-15,C-0516,P-019,Smart Blender 019,Home & Kitchen,2,61.71
O-13804,2024-07-15,C-0982,P-026,Premium Backpack 026,Sports & Outdoor,2,128.37
O-11669,2024-07-15,C-0435,P-050,Family Race Track 050,Toys,3,60.7
O-13364,2024-07-15,C-0872,P-028,Travel Running Belt 028,Sports & Outdoor,1,11.81
O-13252,2024-07-15,C-0834,P-040,Family Skincare Set 040,Beauty,3,29.73
O-12982,2024-07-15,C-0770,P-003,Travel Power Bank 003,Electronics,3,133.95
O-10583,2024-07-15,C-0157,P-019,Smart Blender 019,Home & Kitchen,1,63.32
O-12441,2024-07-15,C-0628,P-021,Basic Pan Set 021,Home & Kitchen,3,9.36
O-10445,2024-07-16,C-0124,P-023,Max Lamp 023,Home & Kitchen,2,78.22
O-10779,2024-07-16,C-0200,P-033,Deluxe Running Belt 033,Sports & Outdoor,1,77.73
O-13924,2024-07-16,C-1015,P-030,Mini Yoga Mat 030,Sports & Outdoor,3,34.25
O-14261,2024-07-16,C-1103,P-034,Family Tent 034,Sports & Outdoor,2,27.04
O-12313,2024-07-16,C-0593,P-057,Max Desk Pad 057,Office,3,97.08
O-11956,2024-07-16,C-0507,P-051,Mini Notebook Set 051,Office,2,51.7
O-13662,2024-07-16,C-0949,P-049,Classic Plush Bear 049,Toys,3,91.09
O-13040,2024-07-16,C-0783,P-048,Compact Puzzle 048,Toys,2,77.62
O-12743,2024-07-16,C-0707,P-003,Travel Power Bank 003,Electronics,2,140.07
O-11581,2024-07-16,C-0415,P-049,Classic Plush Bear 049,Toys,3,87.62
O-11233,2024-07-16,C-0327,P-051,Mini Notebook Set 051,Office,4,51.19
O-14183,2024-07-17,C-1082,P-048,Compact Puzzle 048,Toys,2,76.17
O-12018,2024-07-17,C-0522,P-036,Classic Skincare Set 036,Beauty,3,31.55
O-13346,2024-07-17,C-0867,P-033,Deluxe Running Belt 033,Sports & Outdoor,3,80.0
O-13290,2024-07-17,C-0845,P-039,Premium Hair Dryer 039,Beauty,3,50.71
O-12786,2024-07-17,C-0716,P-036,Classic Skincare Set 036,Beauty,3,32.31
O-12559,2024-07-17,C-0658,P-051,Mini Notebook Set 051,Office,3,48.31
O-11264,2024-07-17,C-0334,P-045,Classic Plush Bear 045,Toys,3,36.35
O-12808,2024-07-17,C-0724,P-058,Smart Pen Set 058,Office,1,92.57
O-10452,2024-07-18,C-0126,P-043,Max Building Set 043,Toys,3,69.17
O-12834,2024-07-18,C-0731,P-021,Basic Pan Set 021,Home & Kitchen,2,9.3
O-14147,2024-07-18,C-1074,P-042,Compact Mirror 042,Beauty,3,172.17
O-10204,2024-07-18,C-0056,P-031,Compact Backpack 031,Sports & Outdoor,1,54.2
O-11126,2024-07-18,C-0292,P-042,Compact Mirror 042,Beauty,3,167.82
O-12780,2024-07-18,C-0715,P-041,Eco Trimmer 041,Beauty,2,101.21
O-10580,2024-07-18,C-0157,P-047,Smart Building Set 047,Toys,2,129.53
O-11568,2024-07-18,C-0411,P-027,Travel Water Bottle 027,Sports & Outdoor,1,82.63
O-11525,2024-07-18,C-0403,P-050,Family Race Track 050,Toys,2,59.63
O-13912,2024-07-18,C-1012,P-050,Family Race Track 050,Toys,1,58.12
O-12055,2024-07-19,C-0530,P-034,Family Tent 034,Sports & Outdoor,3,26.53
O-14311,2024-07-19,C-1114,P-004,Deluxe Webcam 004,Electronics,2,27.14
O-10753,2024-07-19,C-0192,P-012,Mini Keyboard 012,Electronics,2,32.34
O-12937,2024-07-19,C-0759,P-011,Basic Mouse 011,Electronics,1,66.11
O-10145,2024-07-19,C-0039,P-026,Premium Backpack 026,Sports & Outdoor,4,129.86
O-11402,2024-07-19,C-0371,P-027,Travel Water Bottle 027,Sports & Outdoor,3,82.24
O-13146,2024-07-19,C-0810,P-046,Smart Race Track 046,Toys,2,86.07
O-12067,2024-07-19,C-0536,P-015,Basic Pan Set 015,Home & Kitchen,4,25.64
O-13633,2024-07-19,C-0943,P-039,Premium Hair Dryer 039,Beauty,2,54.48
O-13360,2024-07-19,C-0870,P-029,Deluxe Tent 029,Sports & Outdoor,2,76.67
O-10407,2024-07-20,C-0115,P-039,Premium Hair Dryer 039,Beauty,2,54.12
O-12659,2024-07-20,C-0685,P-010,Basic Webcam 010,Electronics,3,162.91
O-12206,2024-07-20,C-0570,P-054,Mini Monitor Stand 054,Office,2,61.48
O-12652,2024-07-20,C-0684,P-005,Travel Mouse 005,Electronics,1,160.41
O-14116,2024-07-20,C-1069,P-007,Smart Headphones 007,Electronics,1,77.65
O-10407,2024-07-20,C-0115,P-039,Premium Hair Dryer 039,Beauty,2,54.12
O-10720,2024-07-20,C-0187,P-018,Smart Organizer 018,Home & Kitchen,1,59.24
O-11856,2024-07-20,C-0483,P-056,Pro Notebook Set 056,Office,1,109.22
O-13170,2024-07-21,C-0814,P-020,Basic Kettle 020,Home & Kitchen,3,96.34
O-12681,2024-07-21,C-0688,P-028,Travel Running Belt 028,Sports & Outdoor,2,11.06
O-14382,2024-07-21,C-1130,P-060,Max Chair Cushion 060,Office,3,60.48
O-11693,2024-07-21,C-0440,P-040,Family Skincare Set 040,Beauty,2,28.43
O-14238,2024-07-22,C-1098,P-016,Mini Coffee Maker 016,Home & Kitchen,1,42.74
O-13820,2024-07-22,C-0985,P-034,Family Tent 034,Sports & Outdoor,1,27.17
O-13165,2024-07-22,C-0813,P-043,Max Building Set 043,Toys,1,71.04
O-10373,2024-07-22,C-0104,P-048,Compact Puzzle 048,Toys,3,76.55
O-12317,2024-07-22,C-0594,P-057,Max Desk Pad 057,Office,3,94.57
O-14223,2024-07-22,C-1093,P-019,Smart Blender 019,Home & Kitchen,2,59.01
O-14325,2024-07-22,C-1117,P-024,Basic Organizer 024,Home & Kitchen,1,24.57
O-10301,2024-07-23,C-0087,P-031,Compact Backpack 031,Sports & Outdoor,2,55.64
O-13699,2024-07-23,C-0955,P-028,Travel Running Belt 028,Sports & Outdoor,3,11.15
O-10346,2024-07-23,C-0098,P-036,Classic Skincare Set 036,Beauty,2,32.15
O-10406,2024-07-23,C-0114,P-053,Basic Pen Set 053,Office,1,149.22
O-13351,2024-07-23,C-0868,P-045,Classic Plush Bear 045,Toys,2,35.52
O-10807,2024-07-23,C-0208,P-021,Basic Pan Set 021,Home & Kitchen,3,9.42
O-14158,2024-07-23,C-1075,P-036,Classic Skincare Set 036,Beauty,2,30.84
O-13361,2024-07-23,C-0871,P-005,Travel Mouse 005,Electronics,1,151.91
O-12158,2024-07-23,C-0557,P-038,Classic Mirror 038,Beauty,1,61.76
O-14112,2024-07-23,C-1068,P-060,Max Chair Cushion 060,Office,3,62.84
O-11281,2024-07-24,C-0339,P-044,Premium Puzzle 044,Toys,2,25.88
O-11543,2024-07-24,C-0406,P-008,Mini Speaker 008,Electronics,2,137.61
O-14507,2024-07-24,C-1166,P-047,Smart Building Set 047,Toys,1,135.39
O-10507,2024-07-24,C-0139,P-041,Eco Trimmer 041,Beauty,2,107.4
O-13615,2024-07-24,C-0938,P-022,Mini Coffee Maker 022,Home & Kitchen,2,120.27
O-12457,2024-07-24,C-0632,P-010,Basic Webcam 010,Electronics,2,158.38
O-10466,2024-07-24,C-0130,P-027,Travel Water Bottle 027,Sports & Outdoor,3,83.16
O-11865,2024-07-24,C-0487,P-044,Premium Puzzle 044,Toys,1,24.93
O-14437,2024-07-24,C-1146,P-019,Smart Blender 019,Home & Kitchen,2,63.05
O-11193,2024-07-24,C-0314,P-044,Premium Puzzle 044,Toys,3,24.35
O-10629,2024-07-25,C-0166,P-019,Smart Blender 019,Home & Kitchen,2,63.26
O-13808,2024-07-25,C-0983,P-028,Travel Running Belt 028,Sports & Outdoor,2,11.44
O-14366,2024-07-25,C-1127,P-021,Basic Pan Set 021,Home & Kitchen,1,8.95
O-14485,2024-07-25,C-1161,P-028,Travel Running Belt 028,Sports & Outdoor,1,11.48
O-14016,2024-07-25,C-1039,P-030,Mini Yoga Mat 030,Sports & Outdoor,2,36.34
O-12335,2024-07-25,C-0600,P-024,Basic Organizer 024,Home & Kitchen,3,24.85
O-13257,2024-07-25,C-0834,P-053,Basic Pen Set 053,Office,1,158.42
O-10389,2024-07-25,C-0109,P-059,Basic Monitor Stand 059,Office,1,56.37
O-11256,2024-07-25,C-0332,P-019,Smart Blender 019,Home & Kitchen,2,62.63
O-12507,2024-07-25,C-0642,P-055,Max Chair Cushion 055,Office,1,148.01
O-12068,2024-07-25,C-0536,P-009,Classic Power Bank 009,Electronics,3,73.01
O-11492,2024-07-25,C-0395,P-048,Compact Puzzle 048,Toys,2,77.8
O-13307,2024-07-25,C-0852,P-021,Basic Pan Set 021,Home & Kitchen,2,9.16
O-10947,2024-07-25,C-0243,P-044,Premium Puzzle 044,Toys,2,25.19
O-11894,2024-07-26,C-0492,P-031,Compact Backpack 031,Sports & Outdoor,2,56.78
O-11582,2024-07-26,C-0415,P-054,Mini Monitor Stand 054,Office,3,60.6
O-11467,2024-07-26,C-0389,P-033,Deluxe Running Belt 033,Sports & Outdoor,2,79.92
O-10447,2024-07-26,C-0124,P-042,Compact Mirror 042,Beauty,3,165.72
O-11044,2024-07-26,C-0269,P-056,Pro Notebook Set 056,Office,3,110.16
O-13308,2024-07-26,C-0852,P-060,Max Chair Cushion 060,Office,2,60.37
O-10792,2024-07-26,C-0204,P-005,Travel Mouse 005,Electronics,3,160.39
O-10816,2024-07-26,C-0210,P-054,Mini Monitor Stand 054,Office,4,62.8
O-10784,2024-07-26,C-0202,P-005,Travel Mouse 005,Electronics,1,150.73
O-10614,2024-07-26,C-0163,P-016,Mini Coffee Maker 016,Home & Kitchen,2,43.22
O-12601,2024-07-26,C-0669,P-024,Basic Organizer 024,Home & Kitchen,2,24.58
O-10311,2024-07-27,C-0089,P-058,Smart Pen Set 058,Office,3,91.74
O-13792,2024-07-27,C-0979,P-042,Compact Mirror 042,Beauty,3,164.53
O-10465,2024-07-27,C-0130,P-012,Mini Keyboard 012,Electronics,3,32.53
O-11647,2024-07-27,C-0430,P-024,Basic Organizer 024,Home & Kitchen,1,24.94
O-10436,2024-07-27,C-0122,P-052,Smart Desk Pad 052,Office,1,23.99
O-11456,2024-07-28,C-0387,P-012,Mini Keyboard 012,Electronics,2,33.0
O-13682,2024-07-28,C-0951,P-037,Deluxe Trimmer 037,Beauty,2,114.52
O-10035,2024-07-28,C-0007,P-011,Basic Mouse 011,Electronics,2,67.55
O-12436,2024-07-28,C-0627,P-045,Classic Plush Bear 045,Toys,2,35.59
O-13760,2024-07-28,C-0970,P-057,Max Desk Pad 057,Office,4,92.95
O-14251,2024-07-28,C-1101,P-036,Classic Skincare Set 036,Beauty,1,30.44
O-11620,2024-07-28,C-0424,P-018,Smart Organizer 018,Home & Kitchen,1,63.15
O-11165,2024-07-28,C-0307,P-010,Basic Webcam 010,Electronics,3,160.27
O-13832,2024-07-28,C-0988,P-050,Family Race Track 050,Toys,1,56.39
O-10326,2024-07-29,C-0093,P-019,Smart Blender 019,Home & Kitchen,2,59.3
O-12112,2024-07-29,C-0549,P-013,Deluxe Blender 013,Home & Kitchen,3,149.59
O-13783,2024-07-29,C-0975,P-046,Smart Race Track 046,Toys,1,82.83
O-11272,2024-07-29,C-0336,P-050,Family Race Track 050,Toys,3,56.63
O-12175,2024-07-29,C-0561,P-016,Mini Coffee Maker 016,Home & Kitchen,3,44.13
O-13048,2024-07-29,C-0784,P-038,Classic Mirror 038,Beauty,2,61.92
O-12393,2024-07-29,C-0614,P-046,Smart Race Track 046,Toys,1,86.6
O-11475,2024-07-29,C-0391,P-006,Eco Keyboard 006,Electronics,1,129.76
O-12458,2024-07-29,C-0632,P-032,Max Water Bottle 032,Sports & Outdoor,1,101.85
O-11092,2024-07-30,C-0281,P-013,Deluxe Blender 013,Home & Kitchen,3,143.09
O-12388,2024-07-30,C-0613,P-021,Basic Pan Set 021,Home & Kitchen,2,8.76
O-13844,2024-07-30,C-0992,P-043,Max Building Set 043,Toys,3,69.0
O-12568,2024-07-30,C-0661,P-029,Deluxe Tent 029,Sports & Outdoor,3,77.7
O-10745,2024-07-30,C-0191,P-050,Family Race Track 050,Toys,3,56.99
O-10649,2024-07-30,C-0170,P-025,Smart Yoga Mat 025,Sports & Outdoor,3,82.65
O-13118,2024-07-30,C-0801,P-034,Family Tent 034,Sports & Outdoor,2,26.53
O-11005,2024-07-30,C-0259,P-052,Smart Desk Pad 052,Office,3,23.06
O-12883,2024-07-30,C-0744,P-002,Basic Speaker 002,Electronics,3,97.65
O-12085,2024-07-30,C-0540,P-020,Basic Kettle 020,Home & Kitchen,1,94.0
O-12861,2024-07-31,C-0738,P-041,Eco Trimmer 041,Beauty,2,101.7
O-13177,2024-07-31,C-0815,P-042,Compact Mirror 042,Beauty,2,166.64
O-10337,2024-07-31,C-0096,P-015,Basic Pan Set 015,Home & Kitchen,3,27.03
O-12610,2024-07-31,C-0672,P-013,Deluxe Blender 013,Home & Kitchen,1,150.0
O-10587,2024-07-31,C-0158,P-026,Premium Backpack 026,Sports & Outdoor,3,132.85
O-12856,2024-07-31,C-0736,P-034,Family Tent 034,Sports & Outdoor,2,27.62
O-12373,2024-07-31,C-0610,P-016,Mini Coffee Maker 016,Home & Kitchen,4,43.35
O-11766,2024-07-31,C-0460,P-047,Smart Building Set 047,Toys,1,129.67
O-10998,2024-07-31,C-0257,P-030,Mini Yoga Mat 030,Sports & Outdoor,3,35.1
O-10550,2024-07-31,C-0150,P-059,Basic Monitor Stand 059,Office,3,58.44
O-14057,2024-07-31,C-1054,P-019,Smart Blender 019,Home & Kitchen,3,58.46
O-11687,2024-07-31,C-0438,P-026,Premium Backpack 026,Sports & Outdoor,3,133.72
O-14440,2024-07-31,C-1146,P-015,Basic Pan Set 015,Home & Kitchen,3,26.26
O-14072,2024-08-01,C-1057,P-040,Family Skincare Set 040,Beauty,1,28.65
O-14029,2024-08-01,C-1043,P-058,Smart Pen Set 058,Office,1,96.05
O-14453,2024-08-01,C-1153,P-016,Mini Coffee Maker 016,Home & Kitchen,1,45.5
O-11355,2024-08-01,C-0357,P-012,Mini Keyboard 012,Electronics,1,32.62
O-13919,2024-08-01,C-1014,P-014,Premium Kettle 014,Home & Kitchen,1,60.35
O-13702,2024-08-01,C-0958,P-058,Smart Pen Set 058,Office,3,95.83
O-12496,2024-08-01,C-0641,P-018,Smart Organizer 018,Home & Kitchen,3,63.64
O-14448,2024-08-01,C-1151,P-008,Mini Speaker 008,Electronics,1,138.15
O-13440,2024-08-01,C-0894,P-025,Smart Yoga Mat 025,Sports & Outdoor,3,79.29
O-11791,2024-08-01,C-0467,P-059,Basic Monitor Stand 059,Office,2,59.38
O-11063,2024-08-01,C-0273,P-008,Mini Speaker 008,Electronics,2,143.28
O-12442,2024-08-01,C-0628,P-010,Basic Webcam 010,Electronics,1,162.43
O-12766,2024-08-02,C-0712,P-002,Basic Speaker 002,Electronics,1,97.46
O-14346,2024-08-02,C-1122,P-009,Classic Power Bank 009,Electronics,3,70.73
O-12093,2024-08-02,C-0542,P-041,Eco Trimmer 041,Beauty,1,104.61
O-13668,2024-08-02,C-0950,P-017,Deluxe Lamp 017,Home & Kitchen,1,145.97
O-11691,2024-08-02,C-0440,P-022,Mini Coffee Maker 022,Home & Kitchen,3,121.94
O-10095,2024-08-02,C-0023,P-025,Smart Yoga Mat 025,Sports & Outdoor,1,79.18
O-10684,2024-08-02,C-0178,P-025,Smart Yoga Mat 025,Sports & Outdoor,2,83.23
O-11840,2024-08-03,C-0480,P-007,Smart Headphones 007,Electronics,1,78.57
O-11667,2024-08-03,C-0435,P-043,Max Building Set 043,Toys,4,68.51
O-11118,2024-08-03,C-0290,P-015,Basic Pan Set 015,Home & Kitchen,3,27.02
O-14312,2024-08-03,C-1114,P-056,Pro Notebook Set 056,Office,1,106.72
O-12730,2024-08-03,C-0703,P-004,Deluxe Webcam 004,Electronics,1,26.08
O-12331,2024-08-03,C-0598,P-013,Deluxe Blender 013,Home & Kitchen,2,148.75
O-10343,2024-08-03,C-0098,P-049,Classic Plush Bear 049,Toys,4,86.5
O-10834,2024-08-04,C-0214,P-020,Basic Kettle 020,Home & Kitchen,3,95.37
O-10160,2024-08-04,C-0041,P-049,Classic Plush Bear 049,Toys,1,91.09
O-10950,2024-08-04,C-0244,P-009,Classic Power Bank 009,Electronics,3,74.86
O-10852,2024-08-04,C-0219,P-059,Basic Monitor Stand 059,Office,1,59.4
O-12557,2024-08-04,C-0657,P-044,Premium Puzzle 044,Toys,2,24.29
O-13083,2024-08-04,C-0793,P-051,Mini Notebook Set 051,Office,3,48.89
O-12347,2024-08-04,C-0603,P-019,Smart Blender 019,Home & Kitchen,2,59.71
O-14551,2024-08-04,C-1180,P-051,Mini Notebook Set 051,Office,1,49.03
O-14110,2024-08-04,C-1068,P-013,Deluxe Blender 013,Home & Kitchen,2,141.54
O-14246,2024-08-04,C-1100,P-045,Classic Plush Bear 045,Toys,1,34.3
O-13503,2024-08-04,C-0910,P-059,Basic Monitor Stand 059,Office,2,56.31
O-13278,2024-08-04,C-0840,P-019,Smart Blender 019,Home & Kitchen,2,62.34
O-13620,2024-08-05,C-0940,P-043,Max Building Set 043,Toys,2,66.83
O-11680,2024-08-05,C-0437,P-045,Classic Plush Bear 045,Toys,1,33.84
O-12759,2024-08-05,C-0710,P-050,Family Race Track 050,Toys,3,60.43
O-12665,2024-08-05,C-0685,P-014,Premium Kettle 014,Home & Kitchen,2,62.12
O-11335,2024-08-05,C-0351,P-001,Classic Headphones 001,Electronics,2,85.77
O-12030,2024-08-05,C-0525,P-021,Basic Pan Set 021,Home & Kitchen,2,9.0
