customer_id,country,segment,acquisition_channel,first_order_value,first_order_items,newsletter,support_tickets,website_visits_first_month,orders_in_period,six_month_spend
X-0033,Czechia,consumer,organic,71.5,3,0,0,6,3,243.94
X-0034,Czechia,consumer,referral,63.13,3,1,0,4,4,336.85
X-0035,Czechia,consumer,ads,108.16,2,1,0,6,5,298.12
X-0036,France,business,referral,186.46,2,0,0,2,10,765.22
X-0037,France,business,organic,74.7,2,0,1,4,7,509.9
X-0038,Poland,consumer,organic,97.21,1,0,0,7,2,129.22
X-0039,Czechia,consumer,ads,45.1,4,0,2,8,4,323.25
X-0040,France,consumer,ads,58.44,1,1,2,4,4,290.75
X-0041,Poland,consumer,organic,137.78,2,0,1,4,5,316.72
X-0042,Poland,consumer,ads,44.6,4,0,1,6,4,245.04
X-0043,Czechia,business,ads,92.83,1,1,1,8,8,598.79
X-0044,France,business,ads,119.19,4,1,1,5,8,676.33
X-0045,France,business,organic,205.87,3,1,1,6,10,719.07
X-0046,Poland,consumer,social,144.42,1,0,2,4,6,473.72
X-0047,France,consumer,organic,56.41,1,1,0,9,4,332.84
X-0048,France,consumer,organic,89.16,2,1,0,5,9,526.73
X-0049,France,consumer,organic,96.6,2,1,1,5,6,538.29
X-0050,Czechia,consumer,organic,103.73,1,0,2,4,4,325.52
X-0051,France,consumer,referral,201.51,3,1,1,4,8,584.4
X-0052,Poland,consumer,organic,87.41,3,0,0,8,5,393.21
X-0053,Poland,consumer,organic,84.59,1,0,1,6,3,247.51
X-0054,Poland,consumer,organic,31.8,4,0,0,6,2,166.08
X-0055,France,business,organic,81.07,2,1,0,6,6,505.15
X-0056,Czechia,consumer,ads,28.23,3,1,1,4,4,290.66
X-0057,Czechia,consumer,organic,87.47,3,1,0,6,4,281.4
X-0058,Poland,consumer,organic,139.62,4,1,0,4,4,282.93
X-0059,France,consumer,referral,68.47,1,1,1,6,4,304.76
X-0060,France,business,ads,175.98,1,1,0,7,9,609.71
X-0061,Czechia,consumer,organic,111.52,1,1,2,4,4,272.05
X-0062,Czechia,business,ads,121.89,3,0,0,4,6,436.66
X-0063,France,consumer,organic,102.52,3,1,0,2,5,390.22
X-0064,Czechia,consumer,organic,160.41,2,0,1,6,4,309.75
X-0065,France,business,organic,102.16,4,1,1,2,8,576.3
X-0066,Czechia,consumer,organic,100.51,3,1,0,5,7,517.55
X-0067,France,consumer,organic,52.21,2,0,1,9,8,485.36
X-0068,Czechia,consumer,organic,57.76,4,0,1,9,3,192.51
X-0069,France,business,ads,112.13,1,1,0,6,10,587.14
X-0070,France,consumer,organic,75.37,1,0,0,7,5,251.73
X-0071,Czechia,business,organic,36.16,4,0,0,6,5,402.92
X-0072,France,consumer,social,70.97,2,1,0,5,5,364.2
X-0073,Czechia,consumer,referral,145.99,4,0,1,5,5,391.71
X-0074,Czechia,consumer,referral,106.05,4,1,3,4,4,246.57
X-0075,Czechia,consumer,ads,64.97,4,1,1,6,4,267.26
X-0076,France,consumer,ads,92.13,4,1,0,4,8,510.36
X-0077,France,consumer,referral,154.55,1,1,0,8,6,566.16
X-0078,Czechia,consumer,ads,51.46,3,0,1,7,2,211.28
X-0079,France,consumer,referral,48.57,4,1,0,10,4,301.31
X-0080,France,consumer,referral,104.02,4,1,2,7,6,449.91
X-0081,Poland,business,organic,71.6,4,1,0,6,5,430.28
X-0082,France,consumer,organic,103.98,4,0,1,7,4,284.58
X-0083,Czechia,business,organic,95.39,2,0,0,4,5,404.18
X-0084,France,consumer,ads,103.82,4,0,0,7,5,390.55
X-0085,France,business,referral,224.23,3,0,0,7,9,665.28
X-0086,Poland,consumer,ads,42.4,3,0,0,1,3,161.22
X-0087,Poland,consumer,ads,134.34,1,1,0,7,5,434.27
X-0088,France,business,ads,118.47,1,1,0,9,8,664.67
X-0089,France,business,referral,130.81,2,0,3,6,9,717.22
X-0090,Czechia,business,ads,27.46,1,1,2,4,6,430.74
X-0091,Czechia,business,ads,141.87,3,1,0,5,9,636.7
X-0092,Czechia,consumer,ads,81.54,2,0,0,7,3,204.11
X-0093,France,business,referral,101.48,1,1,0,4,8,585.2
X-0094,Poland,business,ads,87.49,1,1,1,9,6,488.61
X-0095,Poland,business,referral,55.74,4,0,0,6,7,481.66
X-0096,Czechia,consumer,referral,83.1,1,0,2,7,5,345.86
X-0097,Poland,business,social,95.22,4,0,1,7,8,565.9
X-0098,France,consumer,referral,124.4,3,0,0,5,5,340.75
X-0099,France,consumer,ads,113.36,4,1,2,8,5,421.46
X-0100,France,business,social,89.36,4,0,0,5,8,514.65
X-0101,France,consumer,social,97.53,1,1,1,4,4,348.71
X-0102,France,business,ads,96.87,3,0,1,11,7,532.61
X-0103,Poland,consumer,referral,122.55,3,1,0,2,5,364.52
X-0104,Poland,consumer,social,141.22,3,1,0,8,5,315.41
X-0105,Czechia,consumer,organic,148.81,4,0,1,5,6,401.37
X-0106,Czechia,consumer,ads,77.35,1,0,0,4,2,130.33
X-0107,France,consumer,ads,13.72,1,1,1,8,4,341.59
X-0108,France,business,ads,81.4,4,1,3,8,10,615.59
X-0109,Czechia,consumer,social,73.28,3,1,0,6,5,290.02
X-0110,Czechia,business,organic,95.68,4,0,3,7,7,533.22
X-0111,Czechia,consumer,referral,257.54,1,0,1,5,6,485.82
X-0112,Czechia,consumer,referral,76.99,1,1,1,9,6,408.91
X-0113,Poland,consumer,referral,130.89,3,0,1,6,4,346.47
X-0114,France,consumer,ads,132.33,4,1,0,7,7,570.46
X-0115,France,business,ads,115.71,3,0,0,8,6,465.77
X-0116,France,consumer,organic,26.32,1,0,1,10,1,99.17
X-0117,Poland,business,organic,90.75,4,0,2,6,8,554.0
X-0118,Czechia,business,organic,121.86,2,1,0,10,7,507.22
X-0119,Czechia,consumer,organic,60.92,2,0,0,8,1,124.28
X-0120,Poland,business,referral,29.8,1,0,0,6,6,366.49
X-0121,Czechia,business,social,123.33,4,0,2,4,6,382.73
X-0122,France,consumer,organic,144.51,4,0,2,10,6,523.47
X-0123,France,consumer,referral,87.17,1,0,1,5,6,431.37
X-0124,Czechia,consumer,organic,69.75,1,0,0,6,3,235.04
X-0125,Czechia,consumer,ads,190.2,3,0,0,2,6,493.49
X-0126,Poland,consumer,organic,147.19,3,0,0,6,4,237.59
X-0127,France,consumer,organic,49.74,4,1,0,5,2,126.39
X-0128,Czechia,consumer,social,102.44,2,1,0,7,4,333.95
X-0129,France,consumer,ads,53.52,3,0,0,3,4,307.72
X-0130,Poland,consumer,organic,78.44,4,0,1,7,1,101.15
X-0131,France,business,organic,175.1,4,1,0,9,10,752.01
X-0132,France,consumer,referral,175.83,1,1,1,6,6,370.65
X-0133,France,consumer,ads,68.42,3,1,1,3,6,369.42
X-0134,Poland,consumer,social,128.56,2,0,1,3,6,335.13
X-0135,France,consumer,ads,50.5,3,0,1,8,6,408.0
X-0136,France,consumer,ads,252.08,3,1,1,8,9,674.54
X-0137,France,consumer,ads,29.63,4,1,2,5,5,310.51
X-0138,Poland,consumer,referral,76.89,2,0,0,9,5,337.28
X-0139,Czechia,consumer,referral,128.34,2,1,0,4,5,421.32
X-0140,Poland,consumer,organic,56.03,1,0,0,4,3,160.0
X-0141,France,consumer,ads,50.05,3,0,0,6,3,253.63
X-0142,Czechia,consumer,organic,92.43,2,0,1,9,6,409.8
X-0143,Czechia,consumer,social,64.49,3,1,0,7,6,450.3
X-0144,France,consumer,referral,26.68,2,0,0,7,7,476.01
X-0145,Czechia,business,organic,92.32,4,0,0,7,3,213.28
X-0146,France,consumer,ads,125.61,3,1,0,2,7,556.61
X-0147,France,business,ads,83.65,2,0,1,5,7,480.12
X-0148,France,business,social,90.89,4,0,3,8,9,688.13
X-0149,Czechia,consumer,ads,115.77,2,1,0,7,3,302.26
X-0150,Czechia,business,organic,214.57,3,1,0,3,5,488.3
X-0151,Czechia,consumer,referral,74.53,1,1,0,4,4,303.68
X-0152,Poland,business,organic,111.31,3,1,4,8,5,473.41
X-0153,Czechia,business,ads,91.29,4,1,0,4,7,455.1
X-0154,Czechia,consumer,ads,48.09,3,1,0,3,4,365.3
X-0155,France,consumer,referral,137.21,2,0,1,6,7,573.13
X-0156,Poland,consumer,ads,185.74,3,0,0,3,4,306.22
X-0157,France,consumer,organic,125.7,3,0,3,2,7,533.67
X-0158,France,consumer,social,21.13,1,0,2,4,1,122.45
X-0159,Czechia,consumer,social,77.1,1,0,0,6,3,191.1
X-0160,Poland,consumer,ads,125.46,4,1,0,7,9,638.23
X-0161,France,consumer,ads,158.6,3,1,0,7,8,567.44
X-0162,Czechia,business,ads,34.64,4,0,3,6,4,350.15
X-0163,France,consumer,ads,47.26,2,0,1,4,5,360.79
X-0164,France,consumer,organic,113.34,4,1,0,6,8,504.04
X-0165,Czechia,business,ads,98.4,3,0,3,6,9,521.13
X-0166,France,business,organic,92.49,4,0,1,5,8,642.63
X-0167,Poland,consumer,referral,208.27,3,0,1,9,5,396.73
X-0168,France,consumer,referral,219.04,4,0,0,8,6,513.73
X-0169,Czechia,consumer,organic,53.86,3,0,1,4,2,149.06
X-0170,France,consumer,referral,28.65,4,0,1,8,3,268.47
X-0171,France,consumer,organic,88.99,1,1,2,6,6,411.82
X-0172,Czechia,business,organic,135.68,3,0,0,7,6,413.76
X-0173,France,consumer,organic,166.65,4,0,1,8,7,520.59
X-0174,France,consumer,ads,75.23,4,1,0,6,6,481.39
X-0175,France,consumer,referral,61.42,3,0,0,6,4,248.56
X-0176,France,consumer,organic,116.93,4,1,0,9,6,414.46
X-0177,Poland,consumer,social,81.95,1,0,0,3,1,157.85
X-0178,Poland,business,ads,95.63,4,0,0,3,6,416.92
X-0179,France,business,organic,126.09,2,1,0,3,7,553.67
X-0180,France,consumer,ads,84.99,2,0,1,10,8,533.0
X-0181,France,business,ads,38.55,4,1,0,8,9,642.33
X-0182,Czechia,consumer,ads,62.43,4,0,2,6,4,219.12
X-0183,France,consumer,ads,64.35,4,0,0,6,5,443.93
X-0184,France,business,organic,64.75,2,0,0,7,9,640.32
X-0185,Czechia,business,referral,25.38,4,0,2,4,6,484.36
X-0186,Czechia,consumer,ads,236.82,4,1,1,4,7,532.65
X-0187,Czechia,consumer,social,47.01,4,0,1,7,3,218.25
X-0188,Czechia,consumer,ads,139.89,2,0,2,5,2,244.52
X-0189,France,consumer,organic,56.87,2,1,1,8,5,352.0
X-0190,France,consumer,social,74.81,3,1,1,5,3,202.85
X-0191,Czechia,consumer,organic,94.22,2,0,3,5,5,401.38
X-0192,Czechia,business,organic,66.8,4,1,0,5,5,415.1
X-0193,France,consumer,referral,197.74,4,1,0,5,6,539.08
X-0194,France,consumer,organic,413.13,1,0,0,4,8,686.1
X-0195,France,consumer,ads,27.42,2,1,1,5,4,218.93
X-0196,Poland,business,ads,160.97,3,1,0,7,9,657.85
X-0197,France,business,referral,102.81,3,1,1,3,7,609.06
X-0198,Poland,business,ads,77.14,3,1,2,7,9,578.26
X-0199,Poland,consumer,referral,146.59,3,0,1,8,2,227.45
X-0200,Czechia,business,social,168.92,3,1,0,6,9,663.99
X-0201,Poland,business,referral,88.87,1,0,0,5,6,429.71
X-0202,France,consumer,organic,184.82,2,1,0,2,7,552.63
X-0203,France,consumer,referral,23.12,2,1,3,8,2,120.36
X-0204,Czechia,consumer,referral,135.21,2,0,0,3,5,379.22
X-0205,Czechia,consumer,ads,95.79,1,1,0,5,4,347.96
X-0206,Poland,business,referral,106.32,4,0,0,7,7,463.62
X-0207,Czechia,business,ads,159.06,1,1,1,2,8,538.54
X-0208,France,consumer,organic,127.55,2,0,0,10,6,411.43
X-0209,France,consumer,referral,240.12,2,1,1,5,6,463.98
X-0210,Czechia,consumer,ads,262.47,3,1,2,4,6,423.85
X-0211,Czechia,business,organic,84.65,1,0,4,6,6,445.13
X-0212,Czechia,consumer,ads,42.94,3,1,0,11,7,482.11
X-0213,Poland,consumer,ads,93.06,1,0,1,7,5,433.82
X-0214,France,consumer,referral,53.75,1,0,2,6,4,377.38
X-0215,Czechia,consumer,social,72.56,1,0,1,3,3,163.64
X-0216,France,consumer,referral,100.9,1,1,0,4,8,616.07
X-0217,Czechia,business,social,34.13,3,0,1,5,6,400.64
X-0218,Poland,consumer,organic,123.72,4,1,2,4,5,388.96
X-0219,Czechia,consumer,organic,89.08,4,1,1,9,3,234.31
X-0220,Czechia,consumer,referral,60.05,1,1,1,5,5,326.34
X-0221,France,consumer,ads,16.56,2,1,0,2,3,189.28
X-0222,Poland,consumer,social,156.25,1,1,1,6,9,556.26
X-0223,Czechia,consumer,referral,169.56,3,0,1,6,5,334.58
X-0224,Poland,consumer,organic,159.93,2,0,2,7,4,321.27
X-0225,France,consumer,referral,53.51,3,1,0,4,4,301.53
X-0226,France,consumer,organic,117.47,4,1,1,8,7,428.8
X-0227,Czechia,consumer,ads,173.08,3,0,2,3,6,459.38
X-0228,Czechia,consumer,referral,111.46,1,0,1,7,5,356.04
X-0229,Czechia,business,referral,106.03,4,1,3,6,8,522.26
X-0230,France,consumer,ads,223.43,2,0,1,6,7,637.43
X-0231,Czechia,business,referral,214.88,3,0,1,14,8,562.71
X-0232,France,business,social,72.58,3,1,1,5,8,563.17
X-0233,France,consumer,organic,65.32,3,0,1,7,5,373.18
X-0234,Czechia,consumer,organic,57.4,4,0,0,4,3,171.12
X-0235,Poland,business,organic,26.34,4,0,1,5,5,359.13
X-0236,France,consumer,ads,197.42,3,1,1,9,7,611.67
X-0237,Poland,consumer,organic,110.53,3,1,0,6,2,89.37
X-0238,Poland,consumer,ads,73.46,2,0,1,6,6,424.76
X-0239,Czechia,business,organic,98.93,2,1,0,5,8,593.55
X-0240,Poland,consumer,organic,207.1,1,1,2,6,5,330.44
X-0241,Czechia,business,organic,35.66,3,1,0,10,5,385.99
X-0242,France,consumer,social,193.72,1,0,2,5,8,586.06
X-0243,France,consumer,organic,93.8,1,1,1,3,5,443.68
X-0244,France,consumer,organic,121.91,3,1,0,9,8,517.23
X-0245,France,consumer,organic,125.86,3,0,0,3,6,430.44
X-0246,Poland,consumer,social,213.62,1,1,1,7,7,473.87
X-0247,Poland,business,ads,55.6,4,1,1,3,5,318.56
X-0248,Czechia,business,referral,289.13,1,0,0,7,9,665.32
X-0249,Czechia,consumer,organic,41.19,3,0,1,4,4,313.18
X-0250,Poland,consumer,organic,62.28,4,1,0,5,4,332.08
X-0251,Czechia,consumer,ads,137.34,1,1,1,6,6,442.79
X-0252,France,consumer,referral,199.71,2,0,2,4,6,447.1
X-0253,Poland,business,referral,57.31,3,0,1,7,7,519.75
X-0254,Czechia,consumer,organic,37.63,3,0,1,9,2,177.33
X-0255,France,business,social,205.63,4,1,1,10,11,847.44
X-0256,France,consumer,ads,74.63,4,0,0,7,4,332.65
X-0257,Poland,consumer,ads,77.87,2,1,1,8,3,268.65
X-0258,France,consumer,social,102.3,3,0,1,2,4,317.63
X-0259,Poland,consumer,ads,91.02,4,1,1,4,5,343.42
X-0260,Poland,consumer,referral,139.83,3,1,3,3,4,370.02
X-0261,France,consumer,ads,42.6,1,0,0,6,2,226.45
X-0262,France,consumer,organic,34.49,2,0,0,5,4,341.43
X-0263,Czechia,consumer,organic,120.97,3,0,1,6,5,429.2
X-0264,France,consumer,social,124.86,4,1,1,5,6,397.13
X-0265,Czechia,business,social,139.53,1,0,2,4,4,304.55
X-0266,Poland,business,social,135.25,1,0,1,5,6,422.23
X-0267,Czechia,consumer,referral,34.95,3,0,2,7,2,156.32
X-0268,Czechia,consumer,ads,134.04,1,0,0,4,2,176.34
X-0269,Poland,consumer,organic,130.83,4,1,3,4,3,288.92
X-0270,Poland,business,ads,39.04,4,0,1,13,8,634.14
X-0271,Poland,business,ads,169.18,3,1,0,5,8,570.17
X-0272,France,business,ads,56.11,2,1,2,6,8,522.39
X-0273,France,business,referral,51.82,2,1,0,8,9,622.64
X-0274,Czechia,business,organic,141.49,3,1,1,5,9,587.84
X-0275,France,consumer,ads,45.17,4,1,2,6,3,245.95
X-0276,Czechia,consumer,referral,83.57,3,1,0,3,6,485.85
X-0277,Poland,business,referral,76.04,2,0,1,4,7,434.04
X-0278,Poland,consumer,ads,68.07,3,1,2,6,6,403.82
X-0279,France,consumer,ads,58.92,3,0,0,7,5,326.18
X-0280,Poland,business,ads,267.23,1,1,0,5,7,509.93
X-0281,Czechia,business,organic,136.88,2,1,0,7,7,535.15
X-0282,Czechia,consumer,organic,63.33,1,1,1,3,3,159.28
X-0283,France,consumer,referral,14.02,3,0,1,7,5,430.08
X-0284,France,consumer,organic,64.42,4,0,2,7,2,224.69
X-0285,Poland,consumer,ads,114.41,3,0,0,6,5,345.82
X-0286,Czechia,consumer,ads,75.8,3,0,0,6,5,368.9
X-0287,Poland,business,social,118.57,3,0,3,4,5,451.67
X-0288,France,consumer,referral,47.64,2,1,1,7,5,341.58
X-0289,France,business,referral,102.08,1,0,1,3,4,361.39
X-0290,France,consumer,referral,146.48,4,0,0,7,5,334.61
X-0291,Czechia,consumer,organic,98.86,1,0,0,4,3,215.69
X-0292,Czechia,consumer,ads,79.15,4,0,0,9,4,215.02
X-0293,Czechia,business,organic,125.49,1,0,3,9,7,517.42
X-0294,France,business,ads,21.92,4,1,0,7,7,445.86
X-0295,France,consumer,organic,146.23,4,0,0,4,3,301.66
X-0296,France,consumer,social,24.69,4,1,1,7,1,171.47
X-0297,France,consumer,organic,159.9,4,1,0,7,4,352.65
X-0298,Poland,consumer,organic,77.31,3,0,0,3,3,230.41
X-0299,France,consumer,ads,17.55,3,1,2,4,4,260.34
X-0300,France,consumer,organic,152.99,1,0,3,6,7,457.03
X-0301,Poland,business,organic,172.3,4,1,1,8,8,577.41
X-0302,Poland,consumer,social,80.41,3,0,0,5,2,207.18
X-0303,Czechia,business,organic,165.11,1,1,2,4,8,608.62
X-0304,France,business,referral,110.05,2,1,0,5,6,452.09
X-0305,Czechia,business,referral,124.94,4,1,0,9,9,635.93
X-0306,France,consumer,organic,187.06,2,0,1,3,6,499.77
X-0307,France,consumer,organic,117.03,2,1,0,4,5,400.65
X-0308,Czechia,consumer,ads,153.19,2,1,0,8,5,380.07
X-0309,Poland,consumer,social,255.43,1,1,3,9,8,514.27
X-0310,France,consumer,referral,152.47,3,1,1,4,7,524.58
X-0311,Czechia,consumer,organic,76.07,2,0,1,4,2,127.28
X-0312,Czechia,consumer,organic,112.12,3,0,1,12,6,449.48
X-0313,Czechia,consumer,ads,64.15,2,0,3,7,6,474.17
X-0314,France,consumer,ads,115.07,3,1,0,6,7,462.91
X-0315,Poland,consumer,organic,82.35,3,0,0,5,5,387.63
X-0316,France,consumer,ads,121.6,1,0,1,6,6,492.04
X-0317,France,consumer,social,154.29,1,1,3,6,6,476.18
X-0318,France,consumer,social,62.77,2,0,0,7,3,255.76
X-0319,Czechia,business,referral,100.35,2,1,2,3,6,446.02
X-0320,Poland,business,social,53.14,2,1,0,10,4,335.59
X-0321,France,business,ads,64.8,3,0,0,7,8,629.37
X-0322,France,consumer,organic,109.52,4,0,1,5,4,320.69
X-0323,Poland,business,ads,78.77,4,0,3,8,8,639.92
X-0324,Czechia,business,referral,205.49,2,0,1,5,8,638.23
X-0325,Poland,business,referral,30.81,1,0,0,4,5,398.41
X-0326,Czechia,consumer,social,228.69,2,0,1,7,4,315.69
X-0327,Poland,business,ads,152.64,1,0,0,8,8,624.39
X-0328,Czechia,consumer,ads,136.04,3,0,2,9,6,396.32
X-0329,France,consumer,organic,147.2,3,0,0,4,6,372.05
X-0330,Czechia,consumer,ads,145.51,2,1,2,8,5,385.3
X-0331,France,consumer,referral,75.24,3,1,1,6,3,293.37
X-0332,Czechia,business,ads,157.04,2,0,0,6,7,560.39
X-0333,Czechia,business,organic,114.66,2,1,0,7,7,503.73
X-0334,France,consumer,ads,34.53,1,0,0,6,3,217.64
X-0335,Czechia,consumer,organic,65.44,3,1,1,4,4,326.43
X-0336,France,consumer,ads,53.5,1,1,0,5,7,586.41
X-0337,Poland,consumer,organic,88.16,2,1,0,4,4,154.51
X-0338,France,consumer,social,24.93,2,1,0,10,4,329.16
X-0339,Czechia,consumer,referral,143.28,2,1,1,6,8,570.48
X-0340,France,consumer,referral,157.33,4,1,1,5,7,424.95
X-0341,France,consumer,organic,73.87,4,0,0,2,5,357.41
X-0342,Czechia,consumer,ads,122.84,3,1,1,7,6,446.7
X-0343,Czechia,consumer,organic,209.78,4,1,1,5,6,524.27
X-0344,Poland,consumer,organic,78.07,3,1,0,3,6,440.78
X-0345,France,business,ads,78.1,3,1,0,8,6,426.68
X-0346,Poland,consumer,organic,85.09,2,0,0,5,4,285.24
X-0347,France,consumer,social,136.93,2,0,1,2,4,308.72
X-0348,Czechia,consumer,social,77.19,2,1,0,10,5,318.85
X-0349,Czechia,business,social,86.01,4,1,1,10,7,487.49
X-0350,France,consumer,organic,134.17,3,1,0,8,7,456.06
X-0351,France,consumer,ads,129.86,1,0,0,6,4,353.54
X-0352,France,consumer,organic,71.55,1,1,0,9,3,323.04
X-0353,France,consumer,ads,52.11,4,0,0,13,9,642.47
X-0354,France,business,ads,80.19,1,1,1,4,6,423.98
X-0355,Poland,business,ads,91.14,3,0,2,4,8,559.9
X-0356,France,consumer,organic,110.58,2,1,0,8,5,357.37
X-0357,Poland,consumer,organic,99.44,3,1,0,9,5,367.39
X-0358,Poland,consumer,organic,44.56,4,1,4,4,6,424.45
X-0359,France,business,organic,76.13,2,0,2,4,7,565.87
X-0360,Poland,consumer,organic,26.09,1,0,0,3,1,37.69
X-0361,Poland,business,social,110.25,2,0,2,5,5,380.28
X-0362,France,business,organic,50.51,1,1,1,8,6,531.15
X-0363,Czechia,consumer,organic,37.08,1,0,0,5,4,322.4
X-0364,Poland,consumer,social,82.35,2,1,0,6,3,274.31
X-0365,Czechia,consumer,social,119.9,1,0,1,8,4,306.79
X-0366,Poland,consumer,ads,97.95,1,0,0,5,8,475.94
X-0367,France,business,referral,222.06,2,1,0,8,12,909.6
X-0368,France,consumer,organic,30.89,1,0,2,9,5,407.44
X-0369,Czechia,consumer,ads,29.74,2,0,1,5,2,186.21
X-0370,France,consumer,social,68.32,1,0,2,3,1,33.11
X-0371,Czechia,consumer,ads,153.7,3,1,0,7,4,324.93
X-0372,Czechia,consumer,organic,71.9,4,0,1,3,1,97.62
X-0373,Czechia,business,ads,56.15,4,1,2,9,6,495.57
X-0374,Poland,consumer,referral,124.31,3,1,3,9,6,497.27
X-0375,Czechia,consumer,social,76.39,1,0,0,7,7,446.37
X-0376,Czechia,business,ads,184.37,1,1,1,4,9,721.24
X-0377,Poland,consumer,organic,83.89,3,1,0,6,4,239.25
X-0378,France,consumer,referral,155.07,3,0,0,4,6,479.21
X-0379,Czechia,business,organic,87.92,2,1,0,8,6,536.72
X-0380,France,consumer,organic,120.28,4,0,0,3,4,234.19
X-0381,Czechia,business,organic,167.71,3,0,0,3,5,426.26
X-0382,Poland,business,ads,29.61,2,1,0,4,3,358.61
X-0383,Poland,consumer,ads,23.52,3,0,0,3,5,403.57
X-0384,Czechia,consumer,referral,32.21,1,0,1,9,4,319.37
X-0385,Poland,business,organic,52.17,3,1,0,7,3,304.72
X-0386,France,consumer,ads,171.73,1,1,0,4,6,474.72
X-0387,Czechia,business,referral,238.7,1,1,0,6,8,720.08
X-0388,Poland,business,ads,91.56,3,0,0,5,6,431.01
X-0389,Czechia,consumer,referral,74.51,1,1,1,12,5,362.58
X-0390,Czechia,consumer,social,116.94,1,1,0,5,4,384.87
X-0391,Poland,consumer,organic,62.43,1,0,3,8,4,406.06
X-0392,France,consumer,social,113.26,4,0,1,9,6,520.45
X-0393,Czechia,consumer,social,168.08,4,0,1,9,5,362.17
X-0394,Czechia,consumer,ads,117.52,2,1,0,7,6,387.34
X-0395,Czechia,consumer,referral,48.14,2,0,0,5,3,228.4
X-0396,Poland,consumer,ads,89.73,2,0,1,5,5,403.0
X-0397,Czechia,consumer,referral,253.94,3,0,1,3,6,445.78
X-0398,France,business,referral,124.89,3,0,1,5,5,397.14
X-0399,Poland,business,social,70.68,2,1,1,5,6,440.65
X-0400,France,consumer,organic,61.38,2,1,0,7,6,435.94
X-0401,Czechia,consumer,referral,69.41,2,1,0,3,3,252.79
X-0402,Poland,business,organic,145.38,2,1,1,3,9,673.51
X-0403,Poland,consumer,social,108.25,2,1,0,6,4,249.39
X-0404,Czechia,business,organic,51.12,1,1,0,7,8,578.02
X-0405,Poland,consumer,ads,162.85,1,1,1,6,4,304.21
X-0406,Czechia,consumer,referral,249.69,4,0,0,8,7,558.88
X-0407,France,consumer,ads,111.39,2,0,1,7,5,368.85
X-0408,Czechia,consumer,referral,179.67,2,0,0,6,5,419.66
X-0409,Czechia,business,ads,46.7,1,1,1,4,8,507.39
X-0410,Poland,business,ads,86.28,4,1,1,8,7,457.41
X-0411,Czechia,consumer,referral,43.3,2,1,1,4,4,204.66
X-0412,France,consumer,social,148.76,2,0,1,5,5,382.37
X-0413,France,business,ads,95.95,2,0,0,4,13,901.3
X-0414,France,business,referral,23.55,4,1,0,8,7,540.48
X-0415,Poland,consumer,ads,47.21,4,1,1,5,4,295.25
X-0416,Czechia,consumer,social,89.42,1,1,1,4,5,312.62
X-0417,France,consumer,referral,32.54,1,1,1,10,3,241.02
X-0418,France,consumer,ads,49.13,2,1,1,5,6,466.44
X-0419,France,business,ads,171.87,1,0,0,4,9,702.82
X-0420,Czechia,business,organic,59.89,3,1,0,7,4,284.4
